INT	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	STRING	INT	STRING	STRING
id	name	半身像	问题	代号	选项一id	正确答案	代号	选项二id	错误答案	代号	选项三id	错误答案	代号
3004001	明日少尉01	npc_mrx	明日少尉有哪2个国家的血统？	t_manyou_dati_3004001	101	德国、日本	t_manyou_dati_101	102	英国、日本	t_manyou_dati_102	103	美国、日本	t_manyou_dati_103
3004002	明日少尉02	npc_mrx	明日少尉的口头禅是？	t_manyou_dati_3004002	201	你白痴啊	t_manyou_dati_201	202	你已经死了	t_manyou_dati_202	203	代表月亮消灭你	t_manyou_dati_203
3004003	明日少尉03	npc_mrx	明日少尉是EVA几号机的驾驶员？	t_manyou_dati_3004003	301	二号机	t_manyou_dati_301	302	一号机	t_manyou_dati_302	303	零号机	t_manyou_dati_303
3004004	明日少尉04	npc_mrx	明日少尉的国籍是？	t_manyou_dati_3004004	401	美国	t_manyou_dati_401	402	德国	t_manyou_dati_402	403	日本	t_manyou_dati_403
3004005	明日少尉05	npc_mrx	明日少尉的生日是？	t_manyou_dati_3004005	501	12月4日	t_manyou_dati_501	502	12月5日	t_manyou_dati_502	503	12月6日	t_manyou_dati_503
3004006	炮姐01	npc_pj	炮姐的能力是操纵什么？	t_manyou_dati_3004006	601	电流	t_manyou_dati_601	602	火焰	t_manyou_dati_602	603	木头	t_manyou_dati_603
3004007	炮姐02	npc_pj	炮姐的头发是什么颜色的？	t_manyou_dati_3004007	701	茶色	t_manyou_dati_701	702	黑色	t_manyou_dati_702	703	绿色	t_manyou_dati_703
3004008	炮姐03	npc_pj	炮姐穿裙子时习惯里面穿什么？	t_manyou_dati_3004008	801	安全裤	t_manyou_dati_801	802	丁字裤	t_manyou_dati_802	803	牛仔裤	t_manyou_dati_803
3004009	炮姐04	npc_pj	炮姐在七名L5超能力者中排名第几？	t_manyou_dati_3004009	901	第三	t_manyou_dati_901	902	第一	t_manyou_dati_902	903	第五	t_manyou_dati_903
3004010	炮姐05	npc_pj	炮姐喜欢收集哪个系列的周边？	t_manyou_dati_3004010	1001	呱太	t_manyou_dati_1001	1002	黑子	t_manyou_dati_1002	1003	太妹	t_manyou_dati_1003
3004011	黑色射手01	npc_hsss	黑色射手风衣上有个什么形状的图案？	t_manyou_dati_3004011	1101	五角星	t_manyou_dati_1101	1102	爱心	t_manyou_dati_1102	1103	三角	t_manyou_dati_1103
3004012	黑色射手02	npc_hsss	黑色射手左眼的火焰斗气是什么颜色？	t_manyou_dati_3004012	1201	蓝色	t_manyou_dati_1201	1202	白色	t_manyou_dati_1202	1203	红色	t_manyou_dati_1203
3004013	黑色射手03	npc_hsss	黑色射手的双马尾哪边更长一些？	t_manyou_dati_3004013	1301	左边	t_manyou_dati_1301	1302	右边	t_manyou_dati_1302	1303	下边	t_manyou_dati_1303
3004014	黑色射手04	npc_hsss	黑色射手常用的武器是什么？	t_manyou_dati_3004014	1401	大炮	t_manyou_dati_1401	1402	长枪	t_manyou_dati_1402	1403	弓箭	t_manyou_dati_1403
3004015	黑色射手05	npc_hsss	黑色射手的右侧腹部与左肋上有什么？	t_manyou_dati_3004015	1501	伤疤	t_manyou_dati_1501	1502	纹身	t_manyou_dati_1502	1503	胎记	t_manyou_dati_1503
3004016	波波利01	npc_lbl	波波利是EVA几号机的驾驶员？	t_manyou_dati_3004016	1601	零号机	t_manyou_dati_1601	1602	一号机	t_manyou_dati_1602	1603	二号机	t_manyou_dati_1603
3004017	波波利02	npc_lbl	波波利的瞳孔是什么颜色？	t_manyou_dati_3004017	1701	红色	t_manyou_dati_1701	1702	蓝色	t_manyou_dati_1702	1703	绿色	t_manyou_dati_1703
3004018	波波利03	npc_lbl	波波利的性格特征是？	t_manyou_dati_3004018	1801	三无	t_manyou_dati_1801	1802	傲娇	t_manyou_dati_1802	1803	腹黑	t_manyou_dati_1803
3004019	波波利04	npc_lbl	波波利真正的身份是？	t_manyou_dati_3004019	1901	克隆人	t_manyou_dati_1901	1902	外星人	t_manyou_dati_1902	1903	幽灵	t_manyou_dati_1903
3004020	波波利05	npc_lbl	波波利因为经常受伤而绑上什么？	t_manyou_dati_3004020	2001	绷带	t_manyou_dati_2001	2002	绳子	t_manyou_dati_2002	2003	锁链	t_manyou_dati_2003
3004021	ZERO01	npc_zero	作为特殊能力者ZERO被称为什么？	t_manyou_dati_3004021	2101	歌者	t_manyou_dati_2101	2102	舞者	t_manyou_dati_2102	2103	女神	t_manyou_dati_2103
3004022	ZERO02	npc_zero	ZERO在歌姬六姐妹中的辈分是？	t_manyou_dati_3004022	2201	长女	t_manyou_dati_2201	2202	次女	t_manyou_dati_2202	2203	三女	t_manyou_dati_2203
